País,Latitud,Longitud
AFGANISTAN,33 00 N,65 00 E
ALEMANIA,51 00 N,9 00 E
ARGELIA,28 00 N,3 00 E
ARGENTINA,34 00 S,64 00 W
AUSTRALIA,27 00 S,133 00 E
AUSTRIA,47 20 N,13 20 E
BAHAMAS,24 15 N,76 00 W
BELGICA,50 50 N,4 00 E
BOLIVIA,17 00 S,65 00 W
BRASIL,10 00 S,55 00 W
BULGARIA,43 00 N,25 00 E
CANADA,60 00 N,95 00 W
CHILE,30 00 S,71 00 W
CHINA POPULAR,35 00 N,105 00 E
COLOMBIA,4 00 N,72 00 W
COREA DEL SUR,37 00 N,127 30 E
COSTA RICA,10 00 N,84 00 W
CUBA,21 30 N,80 00 W
DINAMARCA,56 00 N,10 00 E
ECUADOR,2 00 S,77 30 W
EGIPTO,27 00 N,30 00 E
EL SALVADOR,13 50 N,88 55 W
ESPAÑA,40 00 N,4 00 W
ESTADOS UNIDOS DE NORTE AMERICA,38 00 N,97 00 W
FEDERACION DE RUSIA,60 00 N,100 00 E
FEDERACION RUSA,60 00 N,100 00 E
FILIPINAS,13 00 N,122 00 E
FINLANDIA,60 10 N,24 56 E
FRANCIA,46 00 N,2 00 E
GRAN BRETAÑA,54 00 N,2 00 W
GRECIA,39 00 N,22 00 E
GUATEMALA,15 30 N,90 15 W
HOLANDA,52 30 N,5 45 E
HONG KONG,22 15 N,114 10 E
HUNGRIA,47 00 N,20 00 E
INDIA,20 00 N,77 00 E
INDONESIA,5 00 S,120 00 E
IRAN,32 00 N,53 00 E
IRLANDA DEL SUR,53 00 N,8 00 W
ISRAEL,31 30 N,34 45 E
ITALIA,42 50 N,12 50 E
JAMAICA,18 15 N,77 30 W
JAPON,36 00 N,138 00 E
LITUANIA,56 00 N,24 00 E
MALASIA,2 30 N,112 30 E
MEXICO,23 00 N,102 00 W
MOLDAVIA,47 00 N,29 00 E
MYANMAR,22 00 N,96 00 E 
NUEVA ZELANDIA,41 00 S,174 00 E
PANAMA,9 00 N,80 00 W
PARAGUAY,23 00 S,58 00 W
PERU,10 00 S,76 00 W
POLONIA,52 00 N,20 00 E
PORTUGAL,39 30 N,8 00 W
PUERTO RICO,18 15 N,66 30 W
REINO DE LOS PAISES BAJOS,52 30 N,5 45 E
REINO UNIDO,54 00 N,2 00 W
REPUBLICA CHECA,49 45 N,15 30 E
REPUBLICA DE MADAGASCAR,20 00 S,47 00 E
REPUBLICA DOMINICANA,19 00 N,70 40 W
RUMANIA,46 00 N,25 00 E
SINGAPUR,1 22 N,103 48 E
SRI LANKA JANARAJAYA,7 00 N,81 00 E
SUD AFRICA,29 00 S,24 00 E
SUECIA,62 00 N,15 00 E
SUIZA,47 00 N,8 00 E
TAIWAN,23 30 N,121 00 E
THAILANDIA,15 00 N,100 00 E
TUNEZ,34 00 N,9 00 E
TURQUIA,39 52 N,32 52 E
URUGUAY,33 00 S,56 00 W
UZBEKISTAN,41 00 N,64 00 E
VENEZUELA,8 00 N,66 00 W
VIETNAM,16 10 N,107 50 E
